Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre,Fantasy,Game,Adventure,Magic,Psychological,Historical,Music,Comedy,Vampire,Horror,Seinen,Shounen,Military,Demons,Josei,Sci-Fi,Samurai,Space,Hentai,Sports,Mystery,Thriller,Yuri,Dementia,Shoujo,Ecchi,Yaoi,Parody,Cars,Mecha,School,Drama,Martial Arts,Supernatural,Shounen Ai,Harem,Slice of Life,Super Power,Shoujo Ai,Kids,Romance,Police,Action,Cluster,genres_str
39694,Pocari Sweat x Fuji Rock Festival ’17,A collaborative web commercial between the Japanese sports drink brand  Pocari Sweat  and the 2017 Fuji Rock Festival. It was posted to their official Facebook page May of 2017.,Music,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Music
37194,Arigatou,A  Minna no Uta  music video sung by Keiko Utsumi and animated by Nanke Kouji. It has no relation to the  Minna no Uta  music video from 2010 which shares the name name.,"Music, Kids",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,Music Kids
1367,Detective Conan Movie 08: Magician of the Silver Sky,"Once again, Kaitou Kid crosses swords with Conan Edogawa in this annual installment of the Detective Conan movie franchise. After receiving a letter from the thief, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope. Thinking he has deciphered Kid's riddle, Kogorou personally shows up to the newly constructed space theater where Juri is acting in the play ""Josephine"" in order to catch Kid in the act. 
  
The next day, Conan and the gang are invited by Juri to her holiday home, to celebrate the thwarting of Kid's plan and the success of the play. However, their triumph crumbles when a murder occurs during the flight there. Although unintentional, this sets off a series of events that escalate to catastrophic results. Conan and Kid, unlikely allies that they are, must work together to save both their friends and every other passenger aboard the plane. 
  
[Written by MAL Rewrite]","Adventure, Mystery, Comedy, Police, Shounen",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Adventure Mystery Comedy Police Shounen
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,"Music video included with KamiNomi OVA's theme single, Natsuiro Surprise.",Music,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Music
6094,A Piece of Phantasmagoria,A collection of 15 short episodes depicting the magic world of Phantasmagoria. ,"Fantasy, Kids",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,Fantasy Kids
9351,Geunyeoneun Yeppeotda,"Three thirty-something friends meet each other for the first time in ten years. But when one of them goes on a blind date with a gorgeous girl, things become quite complicated.  
 
(Source: Wikipedia)","Comedy, Drama, Romance",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,Comedy Drama Romance
20033,Miss Monochrome The Animation,"""Miss Monochrome"" is an original character design from seiyuu Horie Yui. In March 2012, she first used the ""Miss Monochrome"" character as a 3D virtual singer to sing her songs at her concert ""Horie Yui wo Meguru Bouken III ~Secret Mission Tour~."" Later, the character appeared in a range of merchandise as well as in the social network game ""Girlfriend (Beta)."" 
 
According to the setting, Miss Monochrome loves only the monochrome style, dislikes all kinds of color, and always dreams about changing the world into her favorite monochrome color. 
 
(Source: MAL News)","Music, Slice of Life, Comedy",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Music Slice of Life Comedy
4856,Fuuma no Kojirou: Fuuma Hanran-hen,"After the Chaos war, Kojiro and Ryouma return to earth only to find their clan members killing off each other.  
","Action, Martial Arts, Fantasy, Shounen",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,Action Martial Arts Fantasy Shounen
2360,Choujin Densetsu Urotsukidouji 2,"During World War 2, the Nazis attempted to breach the barriers between the three worlds. They failed then, but a Dr. Myunihausen (Munchausen?) tries again, through the manipulation of Nagumo's brother Takeaki. His goal? To have the Chojin replaced. 
 
As Takeaki is injured in the approaching flight, Nagumo donates some of his blood to save his life, thus infusing Takeaki with the powers of the overfiend. And the results might be too much for Tokyo, perhaps even the overfiend himself, to bear. 
 
(Source: themanime.org)","Demons, Fantasy, Hentai, Horror, Sci-Fi",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demons Fantasy Hentai Horror Sci-Fi
40375,Kick-Flight,"A promotional video for the smartphone game Kick-Flight featuring the song ""Flyers"" by KANA-BOON.","Game, Music",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Game Music
23595,Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,Meifon (and Taffei) talk about the space ships and equipment the Angel Links organization uses to carry out its mission.,"Sci-Fi, Space, Comedy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Sci-Fi Space Comedy
6025,Battle Can²,"Join this band of femme fatales as they sacrifice their dignity to save the galaxy from unsavory space pirates. To solve their cases, they battle the bad guys, rescue stolen treasure, and wrestle space aliens. No job is too big, no humiliation is too great, and no alien has too many tentacles to keep them from the big score.  
 
On their latest mission, the Battle Can-Can girls are out to retrieve a stolen artifact known as the Cosmic Firefly, a gorgeous but fragile jewel worth many billions of dollars, much more than what they make in a year! In order to return it to the rightful owners, they must subdue the most vicious space pirates, have sex with aliens, and confront a traitor from within!  
 
(Source: animeondvd) ","Action, Hentai, Sci-Fi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,Action Hentai Sci-Fi
35592,Zton Jingai Animation: A Beautiful Greed Nulu Nulu,Based on the doujin manga by Z-ton.,Hentai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hentai
12121,Towa no Kizuna,"Limited single release from Daisy x Daisy featuring the ninth intro theme of the series Fairy Tail has on the bundled music video Towa no Kizuna feat. Another Infinity.  
 
(Source: AniDB)",Music,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Music
35926,Shishunki Sex,,Hentai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hentai
29998,Asobi ni Iku yo!: Asobi ni Oide - Owari,Short special bundled with Asobi ni Iku yo! Asobi ni Oide OVA.,Comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Comedy
6900,Tamagotchi!,"The stories will follow the daily lives of the Tamagotchi and feature new characters and settings.  
 
(Source: ANN) ","Comedy, Kids",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Comedy Kids
22955,Francesca,"TV anime adaptation based on the undead idol character Francesca to promote Hokkaido, Japan. 
 
(Source: MAL News)","Fantasy, Comedy",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Fantasy Comedy
