Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre,Historical,Military,Comedy,Fantasy,Cars,Horror,Action,Yaoi,Josei,Vampire,Magic,School,Police,Samurai,Adventure,Shounen Ai,Hentai,Music,Seinen,Dementia,Yuri,Martial Arts,Shounen,Drama,Slice of Life,Shoujo Ai,Shoujo,Space,Sports,Mystery,Super Power,Demons,Game,Romance,Ecchi,Mecha,Kids,Harem,Supernatural,Parody,Thriller,Psychological,Sci-Fi,Cluster,genres_str
9289,Hanasaku Iroha,"Ohana Matsumae is an energetic and wild teenager residing in Tokyo with her carefree single mother. Abruptly, her mother decides to run away with her new boyfriend from debt collectors, forcing the young girl to fend for herself—as per her mother's ""rely only on yourself"" philosophy—in rural Japan, where her cold grandmother runs a small inn. Driven to adapt to the tranquil lifestyle of the countryside, Ohana experiences and deals with the challenges of working as a maid, as well as meeting and making friends with enthralling people at her new school and the inn. 
 
[Written by MAL Rewrite]","Slice of Life, Comedy, Drama",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Slice of Life Comedy Drama
5045,"Kamen no Maid Guy: Ano Natsu, Ichiban Yutaka na Chichi.","An unreleased episode containing scenes that could not be aired due to ""ethical regulations.""","Action, Comedy, Ecchi",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Action Comedy Ecchi
39435,Oshiri Tantei Movie: Curry Naru Jiken,,"Mystery, Comedy, Kids, Fantasy",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,Mystery Comedy Kids Fantasy
2851,Ninkuu (Movie),"How much humiliation can four people and a penguin take? 
 
Hard boiled Aito? Sexy bombshell Rihoko? Choji the red brief? Shining Fuusuke? Cutesy Hooter Hiroyuki? Oh, gimme a break! Who do these guys think they are? The Ninku? 
 
Unfortunately for the real Aito, Choji, Rihoko, and Fuusuke, they do. But little did these imposters know when they stumbled on this sleepy little desert town, that there’d be a price to pay for being treated like the real Ninku, namely, having to fight the deadly Heaven & Earth brothers! 
 
Fortunately for our phony friends, the real Aito, Choji, and Fuusuke step in, there’s nothing but trouble for the bad guys. Can the Ninku art of magic fighting beat the Heaven & Earth brothers deadly fighting style? 
 
(Source: AniDB)","Action, Adventure, Comedy, Historical, Martial Arts, Shounen",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Action Adventure Comedy Historical Martial Arts Shounen
3772,Saiko Robot Kombock,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. 
 
Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! 
 
(Source: AniDB)","Mecha, Sci-Fi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,Mecha Sci-Fi
7523,Fuku-chan no Sensuikan,"Fuku-chan was one of the most popular newspaper comic strip boy-characters in Japan at the time. The film portrays a submarine attack on an enemy cargo ship. Though this, too, was to boost patriotism, Japanese children particularly enjoyed the scenes in which the kitchen crew cooked in the submarine kitchen. Released in November of the same year, the food shortage was quite serious in Japan, and the abundant food supply in the submarine kitchen -- vegetables, fruit, fish, rice, and more which were already luxury items in Japan at the time -- was prepared into various dishes along with a merry, rhythmic song. 
 
(Source: AniDB)","Comedy, Military, Historical",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy Military Historical
7551,Gowapper 5 Gordam,"Five youths from Edo City explore a strange rocky island and discover the mecha that Doctor Hoarai had been creating in order to resist the impending attack by a race of subterranean rock people.  
 
Doctor Hoarai was ridiculed by the scientific community for his predictions that such an attack would take place. The youths decide to join the doctor (who was dead but had transferred his mind into a computer) in piloting the vehicles and protecting Earth. The Gowapper 5 Gordam team is born! With the aid of the giant fighting robot Gordam, the Gowapper team under the leadership of Youko Misaki must face the hordes of the inhuman subterranean people. 
 
(Source: AniDB)","Action, Adventure, Mecha, Sci-Fi",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Action Adventure Mecha Sci-Fi
37088,Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu,A student gets seduced by his kinky female classmates.,Hentai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Hentai
974,Dead Leaves,"Pandy and Retro awaken naked on Earth with no recollection of their past. They embark on a devastating crime spree in search of food, clothing and transportation, but are captured by authorities and sent to the infamous lunar penitentiary named Dead Leaves. While incarcerated, they quickly discover that Dead Leaves is also a top-secret cloning facility, occupied by villainous guards and deformed genetic experiments. Ultra-manic chaos and hyper-violent bedlam ensue as they organize a prison break with the aid of their fellow mutant inmates. ","Adventure, Psychological, Comedy, Sci-Fi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,Adventure Psychological Comedy Sci-Fi
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,"After defeating Frieza, Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler—Frieza's brother—sends three henchmen after Goku. A long fight ensues between our heroes and Cooler, in which he transforms into the fourth stage of his evolution and has the edge in the fight ...until Goku transforms into Super Saiyan. 
 
(Source: ANN)","Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,Action Adventure Comedy Fantasy Sci-Fi Shounen
