Anime_Id,Anime_Title,Anime_Synopsis,Anime_Genre
2645,Dorami & Doraemons: Space Land's Critical Event,,"Kids, Adventure, Fantasy, Comedy, Sci-Fi, Shounen"
27589,47 Todoufuken,"""47 Prefecture Dogs"" is a short flash animation from a voice over variety TV program in Japan called ""SAY! YOU! SAY! ME!"" The animation takes Japan's 47 prefectures—or more specifically, the local delicacies or famous landmarks from each of the regions—and gives them a canine makeover. For example, the ""Fukuoka-ken"" (Fukuoka dog),—Fukuoka of course being home to asianbeat HQ—uses the delicacy ""mentaiko"" (spicy pollack roe) as the motif for its canine characterization. 
 
Each of the characters are played by voice actors that hail from each of the individual prefectures, ""Fukuoka-ken"" being voiced by Fukuoka's Kana Asumi. 
 
Another feature of this anime is the use of regional dialect. All the dogs speak in the dialect of their individual prefectures. So for the Fukuoka dog you hear a lot of ""~to"" and ""~to yo"" at the end of sentences; for the Aichi dog it's ""~dagane,"" and for Ehime, ""~zonamoshi,"" etc. 
 
(Source: AsianBeat.com, edited)","Kids, Comedy"
25157,Trinity Seven,"One day, the bright red sun stopped shining, causing the ""Breakdown Phenomenon""—the destruction of Arata Kasuga's town and the disappearance of the people inhabiting it. All, however, is not yet lost; by utilizing the magical grimoire given to him by his childhood friend and cousin Hijiri Kasuga, Arata's world gets artificially reconstructed. 
 
In order to investigate the phenomenon, Lilith Asami appears before Arata, whose artificial world suddenly disintegrates. He is given two choices: hand over the book, or die. However, Arata chooses the third option—enrolling in the top-secret magic school Royal Biblia Academy, where six other magical users await him. Together with Lilith, these six form the Trinity Seven, the elite of the school who each bolster their own power and skill. 
 
With the ambition to save Hijiri and the help of his newfound friends, Arata stops at nothing to prevent the destruction of his beloved hometown and to bring his best friend back. 
 
[Written by MAL Rewrite]","Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen"
32359,Pokemon XY&Z: Subete no Nazo wo Tokiakase!,"The second half of the special will look back at the series so far and provide a complete explanation of ""all the mysteries"" in the show. 
It will also preview what will happen in the future of the series.","Action, Adventure, Fantasy, Kids"
33756,Hen Xi You,A modern day high school student is accidentally possessed by the spirit of the ancient Monkey King.,"Action, Supernatural, Fantasy"
22421,Licca-chan to Mahou no Kuni,"Takara Tomy's popular doll ""Licca-chan"" got it's own animation ""Licca-chan and the Magical World"" produced by DLE Inc. 
 
This time the theme is a telephone, based on Licca-chan's (Rika-chan's) phone, and the story has elements that capture the girls' hearts such as Magic and Becoming a Princess. 
 
As supporting characters there's the vivid colored ""Bear"", a humorous take on princess as ""Ann Queen"" (voiced by Asa Komuro) and other original characters, creating an original scenario. 
 
(Source: DLE,  Inc.)","Fantasy, Kids"
27663,Baby Steps 2nd Season,"After having decided to play tennis at the professional level, Eiichirou Maruo now needs to convince his parents to support his decision. To do so, he makes a wager: if he cannot win the All-Japan Junior Tennis Tournament, he will give up on his dream. However, he will need to improve his skills quickly if he wants to qualify for the tournament and have any chance of defeating the best players in the country. For this reason, his new coach Ryuuhei Aoi suggests that Eiichirou travel abroad to train at the Florida Tennis Academy. 
 
 Baby Steps 2nd Season  takes the action to America as Eiichirou begins his two-week training program, getting a taste of what tennis is like outside of Japan. With this exciting experience awaiting him, Eiichirou hopes that his training will get him closer to his goal of becoming a professional player. 
 
[Written by MAL Rewrite]","Sports, Romance, School, Shounen"
32855,Tonight,"A music video for the Han-kun song ""Tonight"". ",Music
30127,Danchigai,"Haruki Nakano lives an average high school life, except for the fact that his mother is overseas and he shares an apartment with his four sisters. There's the oldest, Mutsuki, who has a bad habit of falling asleep in his bed, the junior high school student Yayoi, who hits him whenever something happens, and then the grade school twins, Uzuki and Satsuki, who love to play pranks on their older brother. 
 
Stuck in a house with four girls, Haruki has to deal with all sorts of trials. From going grocery shopping, watching scary movies, to kissing practice, life is never boring in  Danchigai !","Comedy, Slice of Life"
10604,Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,"The story takes place in Tokyo Butei High School, a special school where armed detectives—""Butei""—are trained to use weapons. Kinji Tooyama is a second-year-student who has a special ability, but he keeps it a secret to maintain an ordinary, peaceful life; however, when he gets caught in a bombing on the way to school, he encounters H. Aria Kanzaki, the most powerful S-Rank Butei student in Assault Studies. 
 
(Source: ANN)","Action, Mystery, Comedy, Romance"
