User_Id,Anime_Id,Rating_by_User,Like
VyseN,857,8,True
ivorykeys,267,10,True
melukia,445,7,True
cutepiku,1005,7,True
cutepiku,1805,8,True
cutepiku,60,9,True
icerydragon,328,5,False
jet2r0cks,66,7,True
jet2r0cks,68,7,True
jet2r0cks,232,7,True
jet2r0cks,60,8,True
jet2r0cks,957,8,True
jet2r0cks,512,9,True
Sw33tPandaZ,853,10,True
jet2r0cks,853,10,True
JackCox,60,9,True
jet2r0cks,877,9,True
jet2r0cks,1965,7,True
jet2r0cks,181,8,True
ani__,681,5,False
jet2r0cks,328,6,False
jet2r0cks,934,8,True
buh6173,911,10,True
purplegold,1555,8,True
Traversy,609,7,True
ka-ki,995,10,True
Skarith,2001,10,True
Washi,2001,9,True
acceleratum,1222,7,True
Xerxes4158,1689,9,True
JackCox,385,10,True
Huntsman,2002,3,False
Huntsman,486,10,True
Huntsman,782,9,True
TMcMahon51,357,9,True
Huntsman,266,9,True
kaul,2001,10,True
TatsubeiYagyu,2680,10,True
Mecheye,853,10,True
Mecheye,1602,9,True
jet2r0cks,2034,8,True
ThatRanMan,18,8,True
acceleratum,1608,6,False
Xerxes4158,853,9,True
Washi,782,7,True
ArcherKinao,405,9,True
ArcherKinao,1050,8,True
ArcherKinao,237,10,True
cafekun,1818,9,True
Shido_Tatsuhiko,2926,9,True
toanbui,60,10,True
tigger89,2605,8,True
mdauben,3090,7,True
Dj_Frog,2216,10,True
GolbeztheGreat,2067,7,True
TheBatman,2001,9,True
Dj_Frog,918,9,True
zeru02,741,7,True
Hyeonnie,1607,6,False
Hyeonnie,1581,7,True
ten6cha,1557,7,True
SamildanachEmrys,19,10,True
missind33,918,10,True
Twickers,441,10,True
Choto,1808,9,True
ten6cha,2031,7,True
MoonPhase,145,9,True
chosenone,2001,6,False
Obediah,60,10,True
KholdStare88,232,9,True
loplop,2433,10,True
martusf,477,9,True
Huntsman,249,5,False
Huntsman,618,2,False
bjtdevera,2604,7,True
GreatSG,3801,5,False
cafekun,877,9,True
UserZero,2001,7,True
h0riz0nLine,3225,8,True
bjtdevera,2216,7,True
TheLlama,934,9,True
TheLlama,1686,8,True
TheLlama,1818,9,True
ten6cha,478,2,False
Huntsman,478,6,False
staindwing,2034,8,True
K4emic,3225,5,False
amaity,2581,8,True
ShadowBlazer3000,177,10,True
PimpToad,2595,7,True
HardToName,2581,8,True
yanmzry,1689,6,False
cafekun,2581,8,True
Echoes,2595,7,True
Nightscream,237,8,True
Nightscream,1818,8,True
menoffaith,2034,9,True
ShadowBlazer3000,934,2,False
ShadowBlazer3000,1250,10,True
Hr0n,1692,5,False
hobbiteen,580,6,False
doge_senpai,356,6,False
MoonPhase,66,9,True
Nightscream,287,6,False
ghostxlix,2759,8,True
klemon_qhap,177,7,True
ethann,2034,10,True
ethann,1222,10,True
ethann,877,9,True
ethann,2795,8,True
ethann,2002,8,True
sembranosa,2034,10,True
kamen9s,2926,5,False
Tinky-Winky,853,9,True
Tinky-Winky,3457,7,True
AnimeTalk,934,8,True
doge_senpai,2581,8,True
Emilio_Rodo,1594,8,True
ethann,60,9,True
cafekun,3457,8,True
coinoperatedgirl,934,10,True
ethann,1721,7,True
verayo,854,4,False
INVASION,4729,9,True
BakaScarlet,1723,8,True
Choto,249,8,True
verayo,1198,6,False
mistwister,356,9,True
verayo,2595,8,True
verayo,1607,6,False
Kittybaka,918,9,True
marcusyoya,477,10,True
verayo,4059,8,True
TheLlama,3457,8,True
TheLlama,2942,8,True
verayo,2508,8,True
kaiokenx3,3407,9,True
internetotaku,2001,9,True
YoungVagabond,287,10,True
Islaya,534,10,True
Trafz,2759,2,False
BluefireRikku,3457,8,True
SSBMboss,357,8,True
SSBMboss,934,10,True
Kyousukeee,155,1,False
TheLlama,45,9,True
GrimaH,477,9,True
Huntsman,60,10,True
Huntsman,1538,7,True
Forfirith,60,7,True
nyarlathotepsama,2001,10,True
TargaryenX,19,7,True
Strife91,241,8,True
TheLlama,478,6,False
Yamanashi_Ken,356,10,True
NanashiMoriko,356,8,True
Yamanashi_Ken,853,9,True
KholdStare88,4059,9,True
Kenkei,66,9,True
VSL,3614,9,True
Ellyne,348,6,False
Fullmetal-Locke,2001,8,True
Lonareas,2001,10,True
ethann,3457,7,True
TheLlama,1689,10,True
verayo,546,3,False
metallian,2759,7,True
Retro8bit,229,8,True
animefan4life,4059,5,False
verayo,4262,6,False
r3c0rk33p1ng,3572,8,True
rackoy,877,10,True
Eclesis,3572,9,True
RockaTiki,45,10,True
nicovivas28,4059,9,True
KameHime,1808,7,True
ghostintheruins,534,10,True
Huntsman,3572,8,True
boomkin,877,10,True
eddiekid,237,9,True
KameHime,2034,7,True
alx222000,611,6,False
isikaru,1640,5,False
StarfleetCpt,1285,4,False
StarfleetCpt,2001,10,True
Animegurl420,3457,6,False
StarfleetCpt,3086,8,True
StarfleetCpt,975,10,True
stormchasar,1723,2,False
brass2themax,210,9,True
lightanddarkness,3614,10,True
Mystic-Yoyo,2457,7,True
amaity,918,9,True
ethann,195,8,True
eddiekid,853,9,True
masterhoopla,477,8,True
thepinkangel,758,7,True
Elydan,4177,9,True
alx222000,590,7,True
Retro8bit,673,8,True
breakingnotes,877,8,True
Anelis,4551,6,False
Kit-Tsukasa,3572,10,True
eddiekid,934,8,True
Retro8bit,2524,4,False
Elydan,3086,7,True
GuUguk,2216,10,True
ethann,857,8,True
shadowsaiph,2847,7,True
Thaiberium,3572,9,True
Retro8bit,1888,9,True
Elydan,174,7,True
Retro8bit,3818,6,False
FlashFlare11,3972,10,True
noteDhero,477,8,True
Fullmetal-Locke,3086,7,True
Elydan,1555,8,True
Thaiberium,356,7,True
Sveznajko,45,9,True
qseft,4744,7,True
jadamikira,2034,9,True
SkinneeJay,1600,9,True
kamikaze5513,4722,10,True
stormchasar,1965,7,True
SilentMuse,4551,6,False
superjesus,195,4,False
eraseme,4224,10,True
Retro8bit,4744,5,False
Kid_at_Hart,2942,9,True
Kit-Tsukasa,4744,4,False
MikariStar,3086,8,True
Mugiwara-Pyon,4224,9,True
Mugiwara-Pyon,934,9,True
gdavge2003,4744,7,True
Bosch,237,10,True
gdavge2003,4262,7,True
miskat,4551,9,True
Retro8bit,1982,6,False
Minori92,4224,10,True
Zovistograt,5842,8,True
MikariStar,1640,5,False
outlaw98,2001,10,True
Uushie,4472,9,True
Sveznajko,486,9,True
Morticon,2715,9,True
Dr_Jan_Itor,4224,7,True
ColdBeans,837,8,True
outlaw98,934,8,True
Dr_Jan_Itor,249,5,False
SilentNovA,1328,7,True
ColdBeans,66,8,True
Sheepdude,4550,5,False
treemu,934,10,True
Thaiberium,3667,8,True
amade0,2605,3,False
Flambeaux,4224,8,True
AnimeKraze,4744,9,True
poki08,934,9,True
Retro8bit,3225,8,True
yamagata007,45,10,True
dbaranyi,5477,8,True
vaberella,4224,9,True
dbaranyi,4177,3,False
Retro8bit,3381,7,True
kurisui,4177,7,True
PartiaL,2744,9,True
hamza-kun,1889,9,True
outlaw98,477,5,False
ryukyu808,4177,8,True
Shugocharalover,1029,9,True
Slizer,4224,8,True
yumedarling,4177,4,False
DjNastyDevice,478,8,True
Drakkle,356,7,True
DjNastyDevice,2002,10,True
ipowyourface,5369,6,False
n_icis,4722,10,True
Dellano,2605,9,True
daydreamrose,3225,9,True
BatriX,4744,6,False
BatriX,195,10,True
genshiken195,934,8,True
Retro8bit,4224,9,True
Zhang1222,4224,9,True
Retro8bit,66,8,True
mistah-manila,2002,10,True
YoungVagabond,5369,1,False
kikuchimera,3713,8,True
melomelomelo,4224,9,True
tylerazevedo,1818,8,True
tylerazevedo,2001,9,True
TakakoShimizu,4224,10,True
gdavge2003,4224,10,True
har12430,4224,7,True
daydreamrose,877,10,True
bennyaltuca,4224,9,True
qseft,4224,10,True
Munsuta,4540,5,False
smnt_cdg,4551,9,True
brentine,4722,10,True
mistah-manila,1222,10,True
mistah-manila,357,7,True
mistah-manila,356,8,True
mistah-manila,2508,7,True
mistah-manila,241,7,True
mistah-manila,881,8,True
ZetaAspect,1581,5,False
MaeBern,1029,7,True
mistah-manila,877,10,True
mistah-manila,853,9,True
mistah-manila,195,10,True
mistah-manila,854,7,True
mistah-manila,174,6,False
PKAmmoTroop,1312,10,True
StKGuard,2581,10,True
Vladimir0538,4224,10,True
LaAmaya,4021,8,True
Zelnaga,4720,8,True
mistah-manila,4224,8,True
mistah-manila,4722,8,True
moritheil,5226,9,True
mistah-manila,1594,9,True
Retro8bit,4811,8,True
mrsjunmatsumoto,3713,9,True
dasfreefree,857,5,False
Retro8bit,6361,8,True
sakurafeather,68,10,True
tentacle_raep,3750,8,True
tentacle_raep,1602,5,False
tentacle_raep,1554,8,True
tentacle_raep,1818,5,False
michaelfeb16,478,2,False
Valwin,1029,9,True
jlutholtz,68,7,True
addicted2prs,478,7,True
Dredgy,3226,9,True
The_Unsee_button,5290,9,True
tentacle_raep,2795,4,False
ayufu,5220,10,True
tentacle_raep,1965,9,True
Zovistograt,622,9,True
ChidoriCipCirip,1029,7,True
Fye_DX,3713,8,True
Vash,183,10,True
Sig15,2354,8,True
dbaranyi,878,9,True
lyim,2001,5,False
Dredgy,2001,8,True
xKaochii,4224,10,True
VIZARDichigo,5630,9,True
graceleewon,5717,9,True
Tanta,3572,9,True
loka,1686,3,False
sour_lemon_1k,2001,10,True
r3c0rk33p1ng,5630,9,True
meowsa,6624,9,True
Nayrael,5630,9,True
Retro8bit,5978,8,True
Metaler,934,10,True
shinigamiallie,5630,10,True
JesuOtaku_,24,7,True
JesuOtaku_,853,9,True
Daniel_mugen25,712,10,True
tentacle_raep,4382,1,False
naganje,3713,8,True
ParisainGoldfish,4224,8,True
Wolfy36,5984,10,True
naganje,3782,10,True
Squirrelpaw4970,357,9,True
Squirrelpaw4970,1889,10,True
ParisainGoldfish,4473,8,True
Retro8bit,1175,7,True
_Ayase,3086,9,True
_Ayase,1818,10,True
leona,66,10,True
brass2themax,4382,1,False
Braven,2001,10,True
martinezjkind,2332,10,True
terminarcher,4382,8,True
deadmetle,1198,8,True
viking21,934,9,True
buta_hill,604,9,True
shadowsaiph,356,9,True
iluvnatsume,1222,3,False
MayaLoux,4382,3,False
szaba87,1889,3,False
Tanta,4720,9,True
amf85,3572,10,True
Tanta,877,7,True
Daniel_mugen25,2001,10,True
gosp07,4720,8,True
Yarho,1642,9,True
mokunica22,957,9,True
Ghostfriendly,4087,7,True
Dredgy,5028,9,True
unknown1o1,249,4,False
kpax12,4382,8,True
dee786,478,4,False
Otaku_Hikikomori,4382,8,True
simonfan,2001,10,True
StarfleetCpt,1686,8,True
-flow-,4382,7,True
wyarbrough,929,9,True
Psycho_Sanji,1414,9,True
J22,66,8,True
LSalahaddin,1889,10,True
b0n3s,3656,6,False
Psycho_Sanji,1423,7,True
Thaiberium,5671,7,True
PandoraxChan,4551,9,True
Psycho_Sanji,5485,8,True
no-thanks,99,7,True
MikeOnHighway61,1889,4,False
Splendiferous,5204,7,True
paintitblue,145,5,False
alteredcourse,1879,7,True
Wraith7153,4382,10,True
Darkgreen12,2159,8,True
fuddles,1285,9,True
DrIndigo,4382,9,True
Stilty,4382,4,False
shanimebib,4722,9,True
LucilleLelant,957,10,True
loveGIANT,5316,3,False
loveGIANT,368,10,True
loveGIANT,2871,5,False
Naruchan,2547,8,True
MrChu,6444,8,True
Dragnoer,1602,8,True
Zero_sama,4087,10,True
Kxela,4382,9,True
brixdan,4177,8,True
Whoicanbe,1818,9,True
yuki-chan11,853,10,True
loveGIANT,4492,2,False
loveGIANT,1407,10,True
WolfWarrior,512,10,True
loveGIANT,4699,3,False
Synaizen,6702,6,False
slax,1544,6,False
Retro8bit,5984,8,True
loveGIANT,3478,9,True
Spookt,5940,6,False
bjtdevera,5940,8,True
Eka,6023,3,False
Pichigaru,1498,6,False
inkmouse,4551,8,True
JackCox,853,8,True
Spookt,3060,5,False
Midori84hua,877,10,True
TheLlama,5630,9,True
NeonLoveCookies,2034,10,True
DrBeastly,1818,10,True
sliverofdivinity,267,8,True
miki_sei,75,7,True
Colonelfancy,1176,7,True
Synaizen,45,9,True
Radeon,4224,10,True
StarsAbove,1602,9,True
Vhaagar,1509,3,False
fiddleberg,195,9,True
Xis10cialist,4059,9,True
Chopstick,1686,3,False
Chopstick,1846,3,False
Chopstick,145,5,False
fiddleberg,210,9,True
abazaba920,1157,7,True
Pelsia,4342,9,True
Dragonchase24601,5957,9,True
Dragonchase24601,4382,7,True
lunacha,19,10,True
inesta,253,7,True
unicorn1293,145,10,True
Retro8bit,7017,6,False
fiddleberg,174,9,True
vampirekid,195,10,True
N41X,448,7,True
kajia,300,5,False
MoWriter,853,9,True
MoWriter,66,8,True
kajia,477,7,True
xm0123,2759,9,True
Ran_chan,3972,9,True
jonnyhan,2001,6,False
kajia,405,7,True
Otakuman,3667,8,True
LaosBoi4life,361,5,False
JackCox,2795,6,False
leingodf8,4722,8,True
leingodf8,1250,10,True
leingodf8,2605,10,True
Yotsuba_Snake,7647,9,True
hola170,2001,9,True
clown_ix,918,9,True
Moon_River,6372,7,True
kajia,841,2,False
Dredgy,1594,9,True
wishmatrix,445,5,False
FukouDa,6444,8,True
SamildanachEmrys,975,2,False
jtsw20,1050,10,True
Naiika,7647,8,True
BlackOut0189,357,8,True
IceAndCream,68,8,True
Mr_Panda,2060,7,True
kyokai,7647,9,True
Mr_Panda,2452,7,True
ZeDesu,877,10,True
ZeDesu,1222,1,False
ZeDesu,66,10,True
annabloem,1642,10,True
randomvoice,477,7,True
BeebopJazzAttack,1498,2,False
no_forehead,19,3,False
leingodf8,7647,9,True
meikira14,3713,6,False
DarkPaladinX,2942,8,True
Dredgy,2159,8,True
Noofar,3613,9,True
yuudaiikanata,1640,8,True
yuudaiikanata,68,8,True
yuudaiikanata,1222,8,True
yuudaiikanata,60,8,True
Linkark07,237,9,True
BloodyKittens,24,10,True
leingodf8,6594,9,True
Black_Rose1809,2034,10,True
kajia,968,7,True
meilynne,3656,10,True
liabia,2001,10,True
sooshi,4334,4,False
--Sunclaudius,738,8,True
--Sunclaudius,183,8,True
Black_Rose1809,4224,10,True
Pitrocks14,241,8,True
Yuffira,237,8,True
Colonelfancy,1854,9,True
Black_Rose1809,145,10,True
NumbNuts,4722,8,True
Lilgunpla,4334,10,True
Vivisection,1198,6,False
KyonzumiNagato13,4224,9,True
Yuffira,934,4,False
AgueroKun10,7647,6,False
Helsto,267,4,False
cowwart,7647,8,True
MirrorBeing,918,7,True
bigkfc2k8,19,9,True
Sabinlerose,1528,4,False
Firechick12012,2623,10,True
stevewiess01,8481,9,True
deleteme234,68,8,True
deleteme234,934,2,False
Haruhi_Suzimiya,4382,10,True
J0RD4N,4224,10,True
Kaira-Chan,6707,9,True
dragon_king82,2001,10,True
Scrypt,1555,3,False
DG93,3642,8,True
xlunedanslecielx,6707,7,True
animescavenger,2001,9,True
Nao-stani,7748,6,False
EarlCain,237,9,True
Witchkae,6023,9,True
Fulan,7647,10,True
Alinhje,2605,6,False
Mari_Evans,1977,7,True
Shuu-chan,8339,8,True
Colonelfancy,2162,4,False
shion16,4334,9,True
kajia,512,7,True
IceAndCream,6707,6,False
N41X,678,8,True
Naiika,4722,9,True
Sarahmi,2034,10,True
Dredgy,7655,9,True
Nanalilly,6707,9,True
kakuri41,5337,9,True
adamh89,1005,6,False
MaimeDaifuku,478,5,False
kajia,4059,3,False
IceAndCream,155,1,False
Nanalilly,8634,8,True
qrdel,2581,8,True
qrdel,85,9,True
Spartacus,2002,7,True
013misery,1818,9,True
qrdel,535,9,True
cammoGAL,5630,10,True
aliliyah,2034,9,True
helur,4334,6,False
AssassinDX,19,8,True
JangoReborn,1818,7,True
danielti,8525,9,True
StinkyIkari,174,7,True
firewhale,486,9,True
bjtdevera,4334,6,False
Naturally_Morbid,6707,9,True
Regulus,9047,8,True
kajia,19,10,True
Shuu-chan,9205,7,True
Paula_Misa-chan,1222,8,True
oxana,1117,6,False
batonik,936,9,True
Pitrocks14,66,9,True
jai88,390,4,False
DrAgNmAsTr,3308,4,False
Hiei-and-shino,7724,10,True
BeebopJazzAttack,486,9,True
Iriinteinn,936,7,True
StinkyIkari,4224,5,False
StinkyIkari,5630,8,True
PrimeSonic,1915,8,True
trzr23,5630,8,True
trzr23,6372,8,True
darkcommanderq,8795,10,True
Bryce-kun,6702,6,False
darkcommanderq,8277,8,True
helur,6594,8,True
xm0123,5630,10,True
Leap250,6594,9,True
Kamyar,237,3,False
kirito_boss,356,10,True
Gjallarhorn15,6594,10,True
Scrypt,8277,5,False
nyesman,390,8,True
