User_Id,User_Favorites_Anime
Xamosis,
greyexe,
gorillaz867,6746
kuragure,"20, 25157, 17895, 23847"
UberSenpai,"967, 45, 11061, 14719, 2001, 21"
CaptainLube,1575
avivliba,
Tetoji,"11061, 31964, 11771, 22199, 16498, 9919, 22319, 11757"
Lumi_s,"934, 9253, 19, 5114, 34599"
shanejayell,"975, 673, 98"
LizaSpade,
Crazyripps,"28735, 34591, 14719"
Ice-nine,"9756, 30, 10721, 227, 440, 4081, 14719, 12815, 457, 874"
shinigamisjuul,"24833, 38680, 20, 1535"
1KakashiHatake1,20583
AbeZ,"1210, 2001, 9989"
Corialis,"11061, 121, 8074, 355, 22199, 14813"
Sapphire,"19, 790, 457, 10408, 2246, 199, 5114, 11665, 22789, 877"
Streecer,"467, 85, 30, 80, 35557, 2001, 32615, 32182, 18679, 17074"
Rasco,"19, 1535, 24, 263, 21, 846, 4672"
HiragaSaito37,"2167, 2001, 7785, 9756, 9253"
mcmanitee,35849
Wahmphi,"387, 9253, 6, 32, 24, 227, 1293, 949, 5081, 189"
scorpi1411,"32281, 1535, 34822, 21, 28171, 813, 17895, 11617"
Algirdyz,"820, 26, 457, 32, 875"
Hiyonin,"245, 136, 1210, 9941, 20899"
luckyvmeryl,"6, 1889, 934, 2251, 1"
LitaLaiho,
RunsAwayALot,
lamppost59,
Dethroned,
VictorDelacroix,"96, 941, 228, 1136, 836"
CheckerKnights,"6746, 2251, 10721, 16049, 14131, 33433"
Kritzkingvoid,"4181, 9989, 18195, 6547, 1530"
kaboomneverscrub,"11061, 26, 19, 135, 31964"
Darkness007,"4565, 2001, 5630, 3167, 2904"
naceale,"2927, 521, 2129, 2167, 4181, 17895"
Gilgaki,"10087, 1, 918, 21"
MikeDillon120,5114
Ordoshsen,"10087, 14075, 431, 199, 2167, 28171"
alish2001,"9253, 32282, 28171, 1735, 20, 23273, 16498, 31240"
chococowolf,
Funami,"6213, 16049, 22101, 6702, 20, 1735"
animes-online,
ShySorcerer,"4181, 5081, 14813, 22789, 32093"
BeckMCS,"57, 5114, 1, 19, 2025"
AGhezhog,"11759, 1195, 11757, 4224"
I_RP_AS_GURLSuwu,"19, 6746, 1535"
Wumbo_Combo,"35247, 11665, 801, 35180, 40767, 6594, 35677, 121, 11061, 18679"
McZ,"37210, 35203, 37430, 28907, 2993, 29803, 19815, 11617, 34662, 356"
sakkakuimi,"14075, 23273, 1575, 14719, 10620, 1535, 121, 6707, 9253, 226"
Pippyh,"32949, 43, 30016, 16592, 28171"
glassknuckles,"424, 535, 5204, 568, 32, 35240, 889, 934, 1372, 1629"
Hoovsenberg,
rawrandom,"1735, 2025, 6573, 270, 16498"
chaosflame,"974, 4181, 30, 2001"
Alexthemaster,"79, 2476, 2924, 3299"
uis,"5671, 15611, 14811, 62, 2001, 1530, 33731, 24, 18495, 20031"
vakuso,"36882, 36407, 35790, 37210, 11617, 29803, 37430, 1571, 24455, 12367"
Fire,"7674, 21185, 14075, 9253, 31043, 21995, 32729, 2034, 38524, 27775"
sabconth,"11061, 392, 4181, 10162"
aesthesises,"1, 93, 121, 150, 1575"
Otamorikun,"39533, 38145, 37779, 37435, 37426"
Valencia,"12477, 5681, 12355, 1735, 93, 237"
Bloly,"150, 11061, 2904, 1535, 1, 10087"
Jerry_M,"11227, 5682, 5507, 1575, 8074"
GeneralCow,"6, 4224, 22135, 820, 878"
Jadymoo1994,"19815, 1535, 22663, 30544, 11757, 25681, 853, 11617, 17513, 14713"
Bhaal,1
EOLAnime,"7674, 6746, 28297, 1887, 17549"
Korukasu,
silbmaerto,"550, 721, 9539, 28223, 25835, 2924"
Chloe_Chupp,"2236, 5681, 199, 27899, 22319, 14345"
MrCallum,
MmeBear,
Limox,4181
mardieg,
KanakoMimura,"10620, 18679"
Orion1,"457, 875, 1029, 1033, 44"
Savysleeves,"3655, 1562, 5060, 1604, 120"
Princess_Viola,"532, 512, 440, 338, 795"
Mauno,"1, 4181, 5081, 16918, 28297"
Contrarian,"13655, 9989, 4224, 4181, 1530, 21"
exoic,10721
ins-chan,"4081, 5114, 1689, 4898, 534"
NeonEmperion,"1, 5081, 4087, 339, 9253"
warriorspirit,"205, 853"
ThisIsJeron,
lordofthequacks,"11061, 25777, 33486, 19815"
